[2026-05-04 10:31:21] Received on robot/coral: {'frame': 21068, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.271756, 'ymin': 0.486834, 'xmax': 0.519277, 'ymax': 0.642649}]}
[2026-05-04 10:31:21] Received on robot/coral: {'frame': 21069, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.251239, 'ymin': 0.486834, 'xmax': 0.498761, 'ymax': 0.642649}]}
[2026-05-04 10:31:21] Received on robot/coral: {'frame': 21070, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.251239, 'ymin': 0.502849, 'xmax': 0.498761, 'ymax': 0.647151}]}
[2026-05-04 10:31:21] Received on robot/coral: {'frame': 21071, 'bboxes': [{'id': 1, 'score': 0.902344, 'xmin': 0.251239, 'ymin': 0.49259, 'xmax': 0.498761, 'ymax': 0.636893}]}
[2026-05-04 10:31:21] Received on robot/coral: {'frame': 21072, 'bboxes': [{'id': 1, 'score': 0.902344, 'xmin': 0.251239, 'ymin': 0.486834, 'xmax': 0.498761, 'ymax': 0.642649}]}
[2026-05-04 10:31:21] Received on robot/coral: {'frame': 21073, 'bboxes': [{'id': 1, 'score': 0.902344, 'xmin': 0.251239, 'ymin': 0.486834, 'xmax': 0.498761, 'ymax': 0.642649}]}
[2026-05-04 10:31:22] Received on robot/coral: {'frame': 21074, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.251239, 'ymin': 0.497092, 'xmax': 0.498761, 'ymax': 0.652908}]}
[2026-05-04 10:31:22] Received on robot/coral: {'frame': 21075, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.230723, 'ymin': 0.497092, 'xmax': 0.478244, 'ymax': 0.652908}]}
[2026-05-04 10:31:22] Received on robot/coral: {'frame': 21076, 'bboxes': []}
[2026-05-04 10:31:22] Received on robot/coral: {'frame': 21077, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.230723, 'ymin': 0.502849, 'xmax': 0.478244, 'ymax': 0.647151}]}
[2026-05-04 10:31:22] Received on robot/coral: {'frame': 21078, 'bboxes': []}
[2026-05-04 10:31:22] Received on robot/coral: {'frame': 21079, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.230723, 'ymin': 0.497092, 'xmax': 0.478244, 'ymax': 0.652908}]}
[2026-05-04 10:31:22] Received on robot/coral: {'frame': 21080, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.251417, 'ymin': 0.502849, 'xmax': 0.480649, 'ymax': 0.647151}]}
[2026-05-04 10:31:22] Received on robot/coral: {'frame': 21081, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.2309, 'ymin': 0.502849, 'xmax': 0.460132, 'ymax': 0.647151}]}
[2026-05-04 10:31:23] Received on robot/coral: {'frame': 21083, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.2309, 'ymin': 0.502849, 'xmax': 0.460132, 'ymax': 0.647151}]}
[2026-05-04 10:31:23] Received on robot/coral: {'frame': 21084, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.210384, 'ymin': 0.497092, 'xmax': 0.439616, 'ymax': 0.652908}]}
[2026-05-04 10:31:23] Received on robot/coral: {'frame': 21085, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.210384, 'ymin': 0.497092, 'xmax': 0.439616, 'ymax': 0.652908}]}
[2026-05-04 10:31:23] Received on robot/coral: {'frame': 21086, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.210384, 'ymin': 0.502849, 'xmax': 0.439616, 'ymax': 0.647151}]}
[2026-05-04 10:31:23] Received on robot/coral: {'frame': 21087, 'bboxes': []}
[2026-05-04 10:31:23] Received on robot/coral: {'frame': 21088, 'bboxes': []}
[2026-05-04 10:31:23] Received on robot/coral: {'frame': 21089, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.171756, 'ymin': 0.50818, 'xmax': 0.419277, 'ymax': 0.64182}]}
[2026-05-04 10:31:23] Received on robot/coral: {'frame': 21090, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.1809, 'ymin': 0.497092, 'xmax': 0.410132, 'ymax': 0.652908}]}
[2026-05-04 10:31:23] Received on robot/coral: {'frame': 21091, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.151239, 'ymin': 0.497092, 'xmax': 0.398761, 'ymax': 0.652908}]}
[2026-05-04 10:31:23] Received on robot/coral: {'frame': 21092, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.151239, 'ymin': 0.497092, 'xmax': 0.398761, 'ymax': 0.652908}]}
[2026-05-04 10:31:24] Received on robot/coral: {'frame': 21093, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.130723, 'ymin': 0.497092, 'xmax': 0.378244, 'ymax': 0.652908}]}
[2026-05-04 10:31:24] Received on robot/coral: {'frame': 21094, 'bboxes': []}
[2026-05-04 10:31:24] Received on robot/coral: {'frame': 21095, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.151417, 'ymin': 0.507351, 'xmax': 0.380649, 'ymax': 0.663166}]}
[2026-05-04 10:31:24] Received on robot/coral: {'frame': 21096, 'bboxes': []}
[2026-05-04 10:31:24] Received on robot/coral: {'frame': 21097, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.101239, 'ymin': 0.513107, 'xmax': 0.348761, 'ymax': 0.65741}]}
[2026-05-04 10:31:24] Received on robot/coral: {'frame': 21098, 'bboxes': [{'id': 1, 'score': 0.949219, 'xmin': 0.101239, 'ymin': 0.502849, 'xmax': 0.348761, 'ymax': 0.647151}]}
[2026-05-04 10:31:24] Received on robot/coral: {'frame': 21099, 'bboxes': []}
[2026-05-04 10:31:24] Received on robot/coral: {'frame': 21100, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.101239, 'ymin': 0.507351, 'xmax': 0.348761, 'ymax': 0.663166}]}
[2026-05-04 10:31:24] Received on robot/coral: {'frame': 21101, 'bboxes': []}
